Date,Open,High,Low,Close,Volume
2016-04-20,187.5,187.69,186.34,187.5,4249
2016-04-21,186.44,187.74,183.63,187.01,5085
2016-04-22,188.47,193.31,186.78,188.47,4525
2016-04-25,187.5,189.39,187.5,188.23,2650
2016-04-26,190.5,191.56,188.08,189.92,1881
2016-04-27,191.46,194.27,191.18,191.9,3470
2016-04-28,194.07,200.11,191.66,199.69,3908
2016-04-29,198.13,199.06,191.03,192.34,4063
2016-05-02,193.26,193.26,191.7,192.72,1859
2016-05-03,192.97,193.31,191.41,191.41,2645
2016-05-04,192.24,192.82,190.99,191.56,5909
2016-05-05,192.82,192.97,191.51,191.7,1153
2016-05-06,192.82,193.26,192.38,192.43,3741
2016-05-09,192.82,192.87,188.7,189.09,1985
2016-05-10,190.26,197.33,189.92,195.63,2873
2016-05-11,195.72,197.18,193.65,193.99,5254
2016-05-12,193.5,200.47,193.5,198.25,6305
2016-05-13,195.72,197.47,194.76,196.31,4586
2016-05-17,194.57,199.32,194.57,194.96,2580
2016-05-18,196.99,197.18,193.99,194.04,1709
2016-05-19,194.04,194.81,190.65,193.26,1965
2016-05-20,190.31,198.64,190.31,198.64,2415
2016-05-23,196.11,205.9,196.11,200.18,4686
2016-05-24,200.04,201.74,199.9,201.4,2435
2016-05-25,200.52,201.98,198.64,200.09,1785
2016-05-26,200.09,203.48,200.09,203.48,2131
2016-05-27,203.48,209.29,203.19,206.58,3248
2016-05-30,205.03,206.19,202.8,203.48,1489
2016-05-31,204.02,204.02,200.57,202.51,1691
2016-06-01,204.64,207.02,202.03,206.44,2928
2016-06-02,206.39,208.67,204.26,208.67,3126
2016-06-03,207.36,209.19,204.45,206.19,3039
2016-06-06,205.22,207.36,205.22,206.39,2287
2016-06-07,206.34,207.5,206.34,207.36,3790
2016-06-08,207.36,208.28,207.16,207.6,2783
2016-06-09,207.55,208.33,205.13,208.14,2818
2016-06-10,208.43,208.43,201.59,203.14,3306
2016-06-13,201.54,203.29,200.13,203.24,1985
2016-06-14,203.29,210.26,202.51,202.51,6837
2016-06-15,204.45,205.42,202.42,202.42,5387
2016-06-16,201.15,201.2,194.62,198.06,6380
2016-06-17,199.9,201.54,196.94,197.38,3351
2016-06-20,199.37,202.51,198.4,199.8,5907
2016-06-21,200.23,204.59,200.13,203.92,1895
2016-06-22,204.45,205.42,201.35,201.35,2293
2016-06-23,201.15,202.46,197.67,199.95,2160
2016-06-24,184.44,196.11,180.03,190.06,5411
2016-06-27,187.2,191.22,187.2,188.12,1722
2016-06-28,188.17,193.74,188.17,188.95,2365
2016-06-29,188.95,194.52,188.95,194.38,2969
2016-06-30,192.92,197.52,192.92,194.86,4174
2016-07-01,195.72,197.08,195.25,196.79,6321
2016-07-04,195.2,198.06,195.2,195.72,3530
2016-07-05,195.72,197.86,194.76,196.11,5425
2016-07-06,196.06,196.06,193.16,194.23,2179
2016-07-07,197.23,197.23,190.94,194.76,5573
2016-07-08,193.45,197.18,190.84,195.72,6279
2016-07-11,196.16,200.09,196.16,199.61,4432
2016-07-12,197.23,207.16,197.23,206.1,2531
2016-07-13,202.85,207.36,202.85,205.13,3588
2016-07-14,204.45,206.19,202.27,203.87,1765
2016-07-15,205.22,207.94,200.57,207.26,4519
